INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
SP 1123,AERÓDROMO,VGD,VALGAME DIOS,SINALOA,BADIRAGUATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"AVIONES UNIDOS, S.A. DE C.V.",980.00,,26,7,0.00,107,29,0.00,NO APLICA,NO APLICA,300.00,13.00,TERRACERÍA,23/02/2007,5 AÑOS,23/02/2012,FEB,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 1124,AERÓDROMO,SGC,SAUCITO DE ARAUJO,CHIHUAHUA,GUADALUPE Y CALVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MUNICIPIO DE GUDALUPE Y CALVO,"1,237.00",WGS 84,25,56,58.43,107,14,42.32,11,29,390.00,15.00,TERRACERÍA,28/08/2021,15 AÑOS,28/08/2036,AGO,2036,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 1125,AERÓDROMO,SRX,SANTA RITA,CHIHUAHUA,GUADALUPE Y CALVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO SANTA RITA Y SUS ANEXO,"1,021.00",WGS 84,26,7,39.82,107,9,13.90,17,35,500.00,15.00,TERRACERÍA,18/11/2021,15 AÑOS,18/11/2036,NOV,2036,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 1126,AERÓDROMO,,PERICOS,SINALOA,MOCORITO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,GUSTAVO GALAVIZ LOPEZ,40.00,,25,3,49.30,107,43,20.70,NO APLICA,NO APLICA,400.00,15.00,TERRACERÍA,11/05/2001,30 DÍAS,SIN AUTORIZACIÓN,JUN,2001,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 1127,AERÓDROMO,ERZ,EL RODRIGUEZ,SONORA,CAJEME,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,AMADOR A. RONQUILLO MELENDREZ,227.00,NAD 27,28,14,37.80,109,59,53.40,14,32,"1,200.00",18.00,TERRACERÍA,15/01/2019,15 AÑOS,15/01/2034,ENE,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD OBREGON, SONORA",,,,,,
SP 1128,AERÓDROMO,RCT,RANCHO EL COMANDANTE ,COAHUILA,MUZQUIZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"RANCHO EL COMANDANTE, S.A. DE C.V.",645.00,NAD 27,28,28,31.00,101,49,24.00,13,31,800.00,18.00,TERRACERÍA,16/11/2017,15 AÑOS,17/11/2032,NOV,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD OBREGON, SONORA",,,,,,
SP 1129,AERÓDROMO,ERD,EL RODEO,DURANGO,TAMAZULA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MANUEL MORALES HERRERA,NO DISPONIBLE,,24,36,0.00,106,14,0.00,NO APLICA,NO APLICA,,,TERRACERÍA,19/02/2007,180 DÍAS,19/08/2007,AGO,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA Y DE DURANGO, DURANGO",,,,,,
SP 1130,AERÓDROMO,LHE,LA HERMANDAD,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,200.00",,21,30,14.60,103,47,56.00,18,36,600.00,20.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1131,AERÓDROMO,VBB,VALENTIN BARRERA,TAMAULIPAS,MIGUEL ALEMAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"SERVICIOS AEROPORTUARIOS TAMPICO, S.A DE C.V.",88.00,WGS 84,26,20,30.69,99,0,59.91,14,32,"1,200.00",18.00,ASFALTO,04/09/2006,5 AÑOS,04/09/2011,SEP,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE REYNOSA, TAMAULIPAS",,,,,,
HP 1132,HELIPUERTO,HRW,RESIDENCIAL DEL BOSQUE II,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"RESIDENCIAL DEL BOSQUE, A.C.","2,275.00",WGS 84,19,25,46.00,99,11,3.40,,,,,,07/11/2014,15 AÑOS,07/11/2029,NOV,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 1133,AERÓDROMO,EJL,MESA DE SAN RAFAEL,CHIHUAHUA,GUADALUPE Y CALVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"COMISARIADO EJIDAL, EJIDO LA TRINIDAD","2,559.00",NAD 27,25,47,37.12,106,39,33.45,NO APLICA,NO APLICA,800.00,20.00,TERRACERÍA,14/12/2005,5 AÑOS,14/12/2010,DIC,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
HP 1134,BARCO-HELIPUERTO,HNA,NAIR I,CHIAPAS,TAPACHULA,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"HERSEA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,11/11/2014,15 AÑOS,11/11/2029,NOV,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAPACHULA, CHIAPAS",,,,,,
HP 1135,HELIPUERTO,HMI,MOLIERE DOS22,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"ADMINISTRADORA MOLIERE 222, S.A. DE C.V.","2,292.00",WGS 84,19,26,5.81,99,12,10.17,,,,,,23/04/2015,15 AÑOS,23/04/2030,ABR,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 1136,AERÓDROMO,BBS,BAHIA DE LAS BALLENAS,BAJA CALIFORNIA SUR,MULEGE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,JESUS RENE VILLAVICENCIO CANETT,5.00,,26,49,0.00,113,28,0.00,NO APLICA,NO APLICA,"1,400.00",20.00,TERRACERÍA,25/07/2007,180 DÍAS,25/01/2008,ENE,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LORETO, BAJA CALIFORNIA SUR",,,,,,
SP 1137,AERÓDROMO,LPF,LA PALOMA,SINALOA,GUASAVE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE ANTONIO LIERA INZUNZA,20.00,WGS 84,25,28,37.90,108,12,52.80,4,22,550.00,6.00,TERRACERÍA,07/10/2015,15 AÑOS,07/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 1138,AERÓDROMO,BNZ,"BONANZA
(Fallecimiento de Titular)",BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,IRANNIAADALI RUBIO PEREZ,15.00,WGS 84,32,26,46.26,115,11,7.96,12,30,580.00,10.00,TERRENO NATURAL DE ARCILLA COMPACTADA,07/06/2016,15 AÑOS,07/06/2031,JUN,2031,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 1139,AERÓDROMO,SMB,SAN MARTIN DE BOLAÑOS,JALISCO,SAN MARTIN DE BOLAÑOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,MUNICIPIO DE SAN MARTÍN DE BOLAÑOS,876.00,WGS 84,21,41,29.73,103,49,37.33,12,30,930.00,16.00,TERRACERÍA,13/02/2017,180 DÍAS,13/08/2017,AGO,2017,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE GUADALAJARA, JALISCO",,,,,,
SP 1140,AERÓDROMO,MGO,MOLANGO,HIDALGO,MOLANGO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"COMPAÑIA MINERA AUTLAN, S.A.B. DE C.V.","1,600.00",WGS 84,20,47,25.00,98,44,18.00,11,29,870.00,20.00,ASFALTO,14/12/2022,180 DIAS,14/06/2023,JUN,2023,NO,EN TRAMITE,"AEROPUERTO DE PACHUCA, HIDALGO",,,,,,
SP 1141,AERÓDROMO,SRA,SIERRA SANTA,DURANGO,OTAEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,FLORENTINO LECHUGA DIAZ,"2,262.00",WGS 84,24,25.00,30.36,106,1,50.52,NO APLICA,NO APLICA,,,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,,,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 1142,AERÓDROMO,PLU,PALULA,SAN LUIS POTOSÍ,REAL DEL CATORCE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,JOSE CERRILLO CHOWELL,"2,155.00",WGS 84,23,48,30.20,101,24,34.60,5,23,"1,200.00",20.00,TERRACERÍA,06/05/2022,15 AÑOS,06/05/2037,MAY,2037,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE SAN LUIS POTOSI, SAN LUIS POTOSI",,,,,,
SP 1143,AERÓDROMO,PCK,LA POCHOTECA,NAYARIT,TEPIC,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL  EL NAYAR, NAYARIT",810.00,NAD 27,21,35,2.00,104,41,30.00,NO APLICA,NO APLICA,450.00,15.00,TERRACERÍA,08/03/2002,90 DÍAS,SIN AUTORIZACIÓN,JUN,2002,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1144,AERÓDROMO,GPE,GUADALUPE OCOTAN,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,600.00",,22,03,00,104,18,00,2,20,760.00,25.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1145,AERÓDROMO,,PUENTE DE CAMOTLAN,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,120.00",,21,42,30.00,104,05,30.00,16,34,"1,200.00",25.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1146,AERÓDROMO,LYS,LA YESCA,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,250.00",,21,19,00,104,35,00,4,22,"1,000.00",20.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1147,AERÓDROMO,LMA,LA MANGA,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,700.00",,21,29,22.00,104,35,0.00,3,21,600.00,20.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1148,AERÓDROMO,SJX,SAN JUAN IXTAPALAPA,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,800.00",,21,30,43.00,104,02,49.00,2,20,800.00,20.00,TERRACERÍA,19/04/2007,180 DÍAS,19/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1149,AERÓDROMO,HIC,HUAJIMIC,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.",NO DISPONIBLE,,21,41,00,104,17,30.00,NO APLICA,NO APLICA,"1,000.00",15.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1150,AERÓDROMO,ETN CHECAR SP 611,EL TRAPICHE,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,350.00",,21,26,32.00,104,11,48.00,8,26,800.00,12.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1151,AERÓDROMO,MDM,MECATILLO,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,080.00",,21,14,16.00,104,10,08,10,28,600.00,20.00,TERRACERÍA,31/07/2003,180 DÍAS,31/01/2004,ENE,2004,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1152,AERÓDROMO,APJ,APOZOLCO,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.",720.00,,21,25,41.00,103,54,15.00,3,21,700.00,20.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1153,AERÓDROMO,AMA,AMATLAN DE JORA,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,350.00",,21,23,28.00,104,07,52.00,7,25,600.00,15.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1154,AERÓDROMO,MDS,MESA DE LOS SAUCEDO,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,400.00",,21,27,41.00,103,58,36.00,11,29,500.00,20.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1155,AERÓDROMO,AAS,AMBAS AGUAS,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-C,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,050.00",,21,21,05,104,10,14.00,12,30,600.00,20.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1156,AERÓDROMO,CRM,CARRIZAL,BAJA CALIFORNIA SUR,LA PAZ,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,2-C,"RANCHO LA MISION, S.A. DE C.V.",192.00,WGS 84,23,42,41.39,110,17,15.18,9,27,"1,430.00",15.00,TERRACERÍA,17/04/2019,14 AÑOS,12/10/2033,ABR,2033,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE LA PAZ, BAJA CALIFORNIA SUR",,,,,,
SP 1157,AERÓDROMO,POT,POPOTA,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","1,000.00",,21,29,00,103,55,00,17,35,500.00,20.00,TERRACERÍA,31/07/2003,180 DÍAS,31/01/2004,ENE,2004,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1158,AERÓDROMO,CIR,LA CIRUELILLA,NAYARIT,LA YESCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL DE LA YESCA, NAY.","2,100.00",WGS 84,21,33,45.00,103,57,20.00,2,20,800.00,30.00,TERRACERÍA,17/04/2007,180 DÍAS,17/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 1159,AERÓDROMO,PGL,EL PEDREGAL,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RAFAEL TOMAS JORGE ORENDAIN FAUDOA,7.00,WGS 84,30,27,42.49,115,57,56.74,12,30,545.00,10.00,TERRACERÍA,26/10/2021,180 DÍAS,26/04/2022,ABR,2022,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 1160,AERÓDROMO,RNS,RANCHO SANTO NIÑO,COAHUILA,OCAMPO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ADALBERTO SANTOS BENAVIDES,"1,655.00",NAD 27,27,41,1.17,102,13,51.99,NO APLICA,NO APLICA,800.00,20.00,TERRACERÍA,23/01/2002,180 DÍAS,SIN AUTORIZACIÓN,JUL,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MONCLOVA, COAHUILA",,,,,,
SP 1161,AERÓDROMO,SIE,SIERRITA,DURANGO,TAMAZULA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,SANTOS ANGULO QUIÑONES,"1,021.00",WGS 84,25,15,4.32,106,54,38.64,NO APLICA,NO APLICA,350.00,12.00,TERRACERÍA,12/03/2008,180 DÍAS,12/09/2008,SEP,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 1162,AERÓDROMO,COW,COMEDERO,DURANGO,TOPIA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JESUS M. TORRES TORRES,"1,313.00",WGS 84,25,16,36.39,106,53,28.09,NO APLICA,NO APLICA,350.00,16.00,TERRACERÍA,12/03/2008,180 DÍAS,12/09/2008,SEP,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 1163,AERÓDROMO,MJR,MESA DEL JARILLAL,DURANGO,TOPIA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,TRINIDAD ROMERO TERAN,975.00,,25,44,30.00,106,44,30.00,NO APLICA,NO APLICA,390.00,10.00,TERRACERÍA,22/07/2003,60 DÍAS,SIN AUTORIZACIÓN,SEP,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 1164,AERÓDROMO,LUN,LA LUNA,SINALOA,NAVOLATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE DE JESUS GOMEZ ALCALA,7.00,WGS 84,24,39,45.00,107,31,11.00,8,26,730.00,11.00,ASFALTO,07/03/2014,15 AÑOS,07/03/2029,MAR,2029,NO,SIN PERMISO POR FALLECIMIEMTO DE TITULAR,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
HP 1165,BARCO-HELIPUERTO,HQA,AZTECA 1,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,18/04/2018,15 AÑOS,18/04/2033,ABR,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1166,BARCO-HELIPUERTO,HQB,AZTECA 2,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,07/06/2018,15 AÑOS,07/06/2033,JUN,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1167,BARCO-HELIPUERTO,HQC,AZTECA 3,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,18/04/2018,15 AÑOS,14/04/2033,ABR,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1168,BARCO-HELIPUERTO,HQD,AZTECA 4,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,19/09/2018,15 AÑOS,19/09/2033,SEP,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1169,BARCO-HELIPUERTO,HQE,AZTECA 5,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,08/05/2019,15 AÑOS,08/05/2034,MAY,2034,SI,VIGENTE ,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1170,BARCO-HELIPUERTO,HQF,AZTECA 6,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,18/04/2018,15 AÑOS,14/04/2033,ABR,2033,SI,VIGENTE ,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1171,BARCO-HELIPUERTO,HQG,AZTECA 7,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",10.00,NO APLICA,23,12,51.10,106,23,39.40,,,,,,11/04/2025,15 AÑOS,11/04/2040,ABR,2040,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1172,BARCO-HELIPUERTO,HQH,AZTECA 8,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,18/04/2018,15 AÑOS,18/04/2033,ABR,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1173,BARCO-HELIPUERTO,HQI,AZTECA 9,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,07/06/2018,15 AÑOS,07/06/2033,JUN,2033,SI ,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1174,BARCO-HELIPUERTO,HQJ,AZTECA 10,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,07/06/2018,15 AÑOS,07/06/2033,JUN,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
SP 1175,AERÓDROMO,RCO,REAL DEL CASTILLO,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MACARIA MARRÓN PONCE (ALBACEA Y ADJUDICADA DE LA SUCESIÓN DE RAMÓN HORTA VIDRIO),740.00,WGS 84,31,52,52.30,116,11,31.00,8,26,"2,000.00",20.00,TERRACERÍA,12/04/2016,3 AÑOS,12/04/2019,ABR,2019,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
SP 1176,AERÓDROMO,TTP,TUTUTEPEC,OAXACA,VILLA TUTUTEPEC,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO DE TUTUTEPEC, OAXACA",85.70,WGS 84,16,7,0.00,97,38,0.00,17,35,633.00,30.00,TERRACERÍA,11/05/2016,180 DÍAS,11/11/2016,NOV,2016,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE PUERTO ESCONDIDO, OAXACA",,,,,,
SP 1177,AERÓDROMO,PKC,PICACHO,SINALOA,BADIRAGUATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"TAXI AEREO NACIONAL DEL EVORA, S.A. DE C.V.",840.00,,25,58,16.00,107,23,31.20,NO APLICA,NO APLICA,600.00,20.00,TERRACERÍA,01/06/2005,180 DÍAS,01/12/2005,DIC,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 1178,AERÓDROMO,HDK,HUERTA DE LOS CARRILLO,CHIHUAHUA,GUADALUPE Y CALVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"TAXI AEREO NACIONAL DEL EVORA, S.A. DE C.V.","1,200.00",,26,17,40.00,107,22,40.00,NO APLICA,NO APLICA,500.00,20.00,TERRACERÍA,01/04/2002,90 DÍAS,SIN AUTORIZACIÓN,JUL,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
