INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
SP 022,AERÓDROMO,CXE,CAMPECHE,BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. ROSINA GUTIÉRREZ MACÍAS,30.00,WGS-84,32,31,54.26,114,59,22.59,11,29,560.00,10.00,TERRACERÍA,08/02/2013,180 DIAS,08/08/2013,AGO,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 023,AERÓDROMO,SFC,SANTA FE,SONORA,CABORCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SOCIEDAD DE PRODUCCION RURAL DE R.I., MARIA ISABEL DEL OLIVO",230.00,WGS-84,30,39,52.00,112,17,13.00,8,26,800.00,18.00,TERRACERÍA,01/06/2007,5 AÑOS,01/06/2012,JUN,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE NOGALES, SONORA",,,,,,
SP 024,AERÓDROMO,LEQ,LA ESCUADRA,TAMAULIPAS,PADILLA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RUBEN LEAL MUBARQUI,170.00,WGS-84,24,4,7.00,99,0,46.00,10,28,670.00,9.00,TERRACERÍA,04/09/2014,15 AÑOS,04/09/2029,SEP,2029,SI,VIGENTE,"AEROPUERTO DE CIUDAD VICTORIA, TAMAULIPAS",,,,,,
HP 025,HELIPUERTO,,SARABIA,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"DEL RIO HELICOPTERS, S.A. DE C.V.",5.00,WGS-84,31,46,50.40,116,35,30.50,,,,,,23/04/2004,180 DIAS,23/10/2004,OCT,2004,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
HP 026,HELIPUERTO,HAO,HOSPITAL ANGELES DE LAS LOMAS,ESTADO DE MEXICO,HUIXQUILUCAN,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"HOSPITAL ANGELES DEL PEDREGAL, S.A. DE C.V.","2,560.00",WGS-84,19,23,36.00,99,16,56.50,,,,,,12/03/2015,30 AÑOS,12/03/2045,MAR,2045,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TOLUCA, ESTADO DE MEXICO",,,,,,
SP 027,AERÓDROMO,PPC,PUNTA PESCADERO,BAJA CALIFORNIA SUR,LA PAZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"OPERADORA DE SERVICIOS HOTELEROS Y TURISTICOS, S.A. DE C.V.",9.00,WGS-84,23,48,13.00,109,42,28.00,11,29,"1,014.00",20.00,ASFALTO,30/04/2021,12 AÑOS,31/05/2033,MAY,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA PAZ, BAJA CALIFORNIA SUR",,,,,,
SP 028,AERÓDROMO,VGL,VASCOGIL,DURANGO,SANTIAGO PAPASQUIARO,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,1-A,H. AYUNTAMIENTO SANTIAGO PAPASQUIARO,"1,047.00",WGS-84,24,54,3.78,106,23,6.69,13,31,420.00,12.00,CONCRETO,10/02/2022,15 AÑOS,10/02/2037,FEB,2037,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 029,AERÓDROMO,MRR,EL MORALAR,VERACRUZ,SAN JUAN EVANGELISTA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,CLEMENTE MAITRET COLLADO,50.00,WGS-84,17,37,57.00,94,54,34.00,3,21,520,18,TERRACERIA,16/11/2023,15 AÑOS,29-4-20238,ABR,2038,SI,VIGENTE,"AEROPUERTO DE MINATITLAN, VERACRUZ",,,,,,
HP 030,HELIPUERTO,,NESTLE,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"NESTLE MEXICO, S.A. DE C.V.","2,285.00",,19,26,15.00,99,11,14.00,,,,,,18/05/2007,180 DIAS,18/11/2007,NOV,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 031,AERÓDROMO,PNL,PIEDRAS BLANCAS,NUEVO LEÓN,ALLENDE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,GLORIA MARGARITA SALAZAR SALAZAR,450.00,WGS-84,25,17,38.99,100,0,57.86,13,31,600.00,20.00,TERRACERÍA,04/11/2009,5 AÑOS,04/11/2014,NOV,2014,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MONTERREY, NUEVO LEON",,,,,,
