,,,,,,,,Sistema Aeroportuario Mexicano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEROPUERTO/AERÓDROMO,,,,,,UBICACIÓN,,DATOS ASIGNACIÓN - CONCESIÓN - PERMISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CUL,MMCL,CULIACÁN,CULIACÁN,,SINALOA,CULIACAN,"AEROPUERTO DE CULIACÁN, SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NTR,MMAN,DEL NORTE,DEL NORTE,,NUEVO LEÓN, APODACA,"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, SA DE CV",GAFSACOMM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DGO,MMDO,DURANGO,DURANGO,,DURANGO,DURANGO,"AEROPUERTO DE DURANGO, SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ESE,MMES,ENSENADA,,ENSENADA,BAJA CALIFORNIA,ENSENADA,SECRETARÍA DE LA DEFENSA NACIONAL,SEDENA,que defina la SEDENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GDL,MMGL,GUADALAJARA,GUADALAJARA,,JALISCO,TLAJOMULCO DE ZUÑIGA,"AEROPUERTO DE GUADALAJARA, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BJX,MMLO,AEROPUERTO INTERNACIONAL DE GUANAJUATO,GUANAJUATO,,GUANAJUATO,SILAO,"AEROPUERTO DEL BAJÍO, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,GYM,MMGM,GENERAL JOSE MARIA YAÑEZ,GUAYMAS,,SONORA,GUAYMAS,"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, SA DE CV",GACM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HMO,MMHO,AEROPUERTO INTERNACIONAL GENERAL IGNACIO PESQUEIRA GARCIA,HERMOSILLO,,SONORA,HERMOSILLO,"AEROPUERTO DE HERMOSILLO, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HUX,MMBT,HUATULCO,HUATULCO,,OAXACA,"SANTA MARIA HUATULCO, OAX","AEROPUERTO DE HUATULCO, SA DE CV",ASUR,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ZIH,MMZH,IXTAPA-ZIHUATANEJO,IXTAPA - ZIHUATANEJO,,GUERRERO,ZIHUATANEJO,"AEROPUERTO DE ZIHUATANEJO, SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
